Libros -> facultad, titulo, autor, status disponibilidad, reservado_por

Ingenieria, "Cien anos de soledad", Gabriel García Márquez, True, None
Medio Ambiente, "Matar a un ruisenor", Harper Lee, True, None
Educacion, "El Gran Gatsby", F. Scott Fitzgerald, True, None
Ingenieria, "1984", George Orwell, True, None
Medio Ambiente, "En el camino", Jack Kerouac, True, None
Educacion, "To Kill a Mockingbird", Harper Lee, True, None
Ingenieria, "El Senor de los Anillos", J.R.R. Tolkien, True, None
Medio Ambiente, "El Gran Gatsby", F. Scott Fitzgerald, True, None
Educacion, "Matar a un ruisenor", Harper Lee, True, None
Ingenieria, "Don Quijote de la Mancha", Miguel de Cervantes, True, None
Medio Ambiente, "1984", George Orwell, True, None
Educacion, "Orgullo y prejuicio", Jane Austen, True, None
Ingenieria, "Los juegos del hambre", Suzanne Collins, True, None
Medio Ambiente, "El Hobbit", J.R.R. Tolkien, True, None
Educacion, "Cronica de una muerte anunciada", Gabriel García Márquez, True, None
Ingenieria, "Moby-Dick", Herman Melville, True, None
Medio Ambiente, "Las aventuras de Sherlock Holmes", Arthur Conan Doyle, True, None
Ingenieria, "Crimen y castigo", Fyodor Dostoevsky, True, None
Ingenieria, "Los hombres me explican cosas", Rebecca Solnit, True, None
Medio Ambiente, "Fahrenheit 451", Ray Bradbury, True, None
Educacion, "El retrato de Dorian Gray", Oscar Wilde, True, None
Ingenieria, "Los pilares de la Tierra", Ken Follett, True, None
Medio Ambiente, "El nombre del viento", Patrick Rothfuss, True, None
Educacion, "Cien anos de soledad", Gabriel García Márquez, True, None
Ingenieria, "Los juegos del hambre", Suzanne Collins, True, None
Medio Ambiente, "1984", George Orwell, True, None
Educacion, "Don Quijote de la Mancha", Miguel de Cervantes, True, None
Ingenieria, "Matar a un ruisenor", Harper Lee, True, None
Medio Ambiente, "El Hobbit", J.R.R. Tolkien, True, None
Educacion, "El Gran Gatsby", F. Scott Fitzgerald, True, None
